trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-184.743692949763,"{0: 13, 1: 4, 2: 10, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-301.27503966718376,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 6}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-87.62147965124302,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-37.085430277505765,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-193.81376358397097,"{0: 19, 1: 2, 2: 3, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-103.62438624139854,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-213.23610942567097,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-43.048500585485854,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,11,-5.203048801587142,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-64.83970605131641,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-49.33638014949072,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,3,-34.050883920139945,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-163.47246055169356,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-98.21646879638568,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-46.063057847423956,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-69.89840617274565,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-46.57654008816465,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,10,-22.52224079700643,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,14,-8.505897995905896,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-118.31654965689773,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-5.377284602138314,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-51.477747220195056,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,13.20545221887279,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,7.015618115328752,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,30.909087054215654,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-48.75832637987167,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,3,-9.044160821632625,"{0: 24, 1: 0, 2: 1, 3: 2, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,16,7.399207954319722,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-148.24545743622943,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-70.91760833682295,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
