trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",30,0,-191.34213062209284,"{0: 14, 1: 3, 2: 9, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-139.13058326933805,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",30,0,3.8528243237903084,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-238.08632025257947,"{0: 11, 1: 4, 2: 3, 3: 4, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",25,0,-61.40577307641521,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-74.60880030950683,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-100.97904269563121,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-119.24627679839105,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-88.96149814185131,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-90.56936402673902,"{0: 16, 1: 5, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",30,0,-185.4026455405138,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-8.844226427506227,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",30,0,-270.3638752374994,"{0: 15, 1: 2, 2: 6, 3: 3, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-23.303121049032626,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,5,-61.52671476464841,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,16,2.8809030982893393,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,-135.28842298846388,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-79.49972799615196,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9093729344682314}",20,0,-41.18228894896447,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-152.99776207876565,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9003245225862656}",20,0,-19.27452810960513,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-205.16076173524837,"{0: 12, 1: 1, 2: 7, 3: 3, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8913661439068313}",20,0,-52.84222175024029,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-54.87705061814396,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8824969025845955}",30,0,-101.10177095639585,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-278.3020431847037,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 6}",0
27,False,"{'a': 0.5, 'e': 0.8737159116880344}",25,15,-41.61274583375236,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-38.20130146594465,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8650222931107413}",25,0,-88.37369831908903,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-189.5987385016894,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.8564151774836135}",20,7,-54.61787019335796,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-105.78215289121229,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8478937040879159}",20,13,-38.607560174388304,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-141.88287823725142,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8394570207692074}",20,0,-63.99613323320361,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-142.97764009647327,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.8311042838521256}",20,0,-155.54529766364456,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-132.26924976741975,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.8228346580560184}",20,10,-68.48670706818208,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-127.88735381738282,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.8146473164114145}",25,0,-107.47085412236824,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-96.00958429717733,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.8065414401773269}",30,0,-91.27427753232439,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,0,-36.606948801904636,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7985162187593771}",30,0,-157.96500212405238,"{0: 22, 1: 1, 2: 2, 3: 2, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-106.76456357125056,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7905708496287356}",30,0,-103.41490168023316,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,0,-192.66910819018827,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.7827045382418681}",35,0,-71.77797486612896,"{0: 26, 1: 3, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,4,-171.21404568459624,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 3}",1
51,False,"{'a': 0.5, 'e': 0.774916497961081}",25,0,-111.03652800734017,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7710515858035663}",30,0,-117.83577460162701,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7672059499758557}",30,4,-190.28993635123038,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 4}",1
54,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,11,-14.87529386830973,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7595721232249685}",25,0,-97.52900148424499,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-81.17922501734915,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7520142543193826}",30,0,-101.05601258451752,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-87.62120886618234,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7445315874659094}",25,0,-32.197194445996544,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-66.2044938184092,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.7371233743916278}",25,0,-143.77316696491482,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,0,-52.51854374521072,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.7297888742690568}",25,10,-38.66992128382533,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,6,-79.12080198254152,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.7225273536420722}",20,0,-103.0049996147088,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,10,-9.737450128773798,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.7153380863525599}",35,21,-57.11603660248843,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.7117703227626097}",30,0,-154.3098557502282,"{0: 21, 1: 1, 2: 3, 3: 3, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.7082203534678}",25,0,-76.05196106343477,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,0,-47.898003266733376,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7011734432085724}",20,0,-71.50252149049804,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-122.59706104389006,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.6941966508779789}",25,0,-53.261761475520544,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,0,-23.68025347544492,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6872892787909722}",25,0,-41.77578463080292,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.6838614092123558}",35,18,-62.466247261755555,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.6804506362045877}",30,10,-34.656257332218644,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,13,17.830099769579636,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.6736800392488677}",20,0,-19.835154993431416,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-84.42957293196818,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.6669768108584744}",20,0,-68.63888175984466,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,9,12.930913316351253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
