trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",30,0,-221.84281105914317,"{0: 14, 1: 3, 2: 8, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-21.541098316582282,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-140.76637032950242,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-265.5286256981616,"{0: 16, 1: 2, 2: 5, 3: 3, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",25,5,-21.972886352523634,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",30,0,-111.17881848502888,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-81.25029432165354,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-76.55603959950095,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-74.82882349618772,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-96.65144569917065,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",20,0,-37.69881291725887,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-48.81130570608458,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",20,1,-98.33820370561831,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-122.39502275756654,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",25,0,-26.58414669956409,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-84.89475559828074,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,-59.43460826760286,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
